dataset,feature_mode,method,node,runtime_seconds,sample_count,feature_count,status
bgpclear_apptraffic_2hourRun,CompleteFeatures,MiniBatchKMeans,spine1,1.0071263000136241,1451,171,ok
bgpclear_apptraffic_2hourRun,CompleteFeatures,MiniBatchKMeans,spine2,0.9181242000195198,1435,203,ok
bgpclear_apptraffic_2hourRun,CompleteFeatures,MiniBatchKMeans,spine3,1.044592400023248,1437,320,ok
bgpclear_apptraffic_2hourRun,CompleteFeatures,MiniBatchKMeans,spine4,0.8827265999861993,1437,330,ok
bgpclear_first,ControlPlane,DenStream,leaf1,0.0812949999817647,664,12,ok
bgpclear_first,ControlPlane,DenStream,leaf2,0.058367200021166354,671,11,ok
bgpclear_first,ControlPlane,DenStream,leaf3,0.07665679999627173,670,6,ok
bgpclear_first,ControlPlane,DenStream,leaf5,0.08568079996621236,672,10,ok
bgpclear_first,ControlPlane,DenStream,leaf6,0.0703240999719128,671,11,ok
bgpclear_first,ControlPlane,DenStream,leaf7,0.08054579998133704,675,6,ok
bgpclear_first,ControlPlane,DenStream,leaf8,0.0813264999887906,675,10,ok
bgpclear_first,ControlPlane,DenStream,spine1,0.07430350000504404,662,11,ok
bgpclear_first,ControlPlane,DenStream,spine2,0.07393820001743734,662,11,ok
bgpclear_first,ControlPlane,DenStream,spine3,0.07293309998931363,665,11,ok
bgpclear_first,ControlPlane,DenStream,spine4,0.07193929998902604,663,10,ok
bgpclear_first,DataPlane,DenStream,leaf1,0.3391042999573983,664,201,ok
bgpclear_first,DataPlane,DenStream,leaf2,0.25988079997478053,671,205,ok
bgpclear_first,DataPlane,DenStream,leaf3,0.2932980000041425,670,202,ok
bgpclear_first,DataPlane,DenStream,leaf5,0.290889399999287,672,196,ok
bgpclear_first,DataPlane,DenStream,leaf6,0.32161500002257526,671,202,ok
bgpclear_first,DataPlane,DenStream,leaf7,0.1256149999680929,675,90,ok
bgpclear_first,DataPlane,DenStream,leaf8,0.29281260003335774,675,204,ok
bgpclear_first,DataPlane,DenStream,spine1,0.3282276999671012,662,296,ok
bgpclear_first,DataPlane,DenStream,spine2,0.3130314000300132,662,296,ok
bgpclear_first,DataPlane,DenStream,spine3,0.3225457000080496,665,296,ok
bgpclear_first,DataPlane,DenStream,spine4,0.3494698000140488,663,293,ok
bgpclear_first,CompleteFeatures,DenStream,leaf1,0.3656561999814585,664,213,ok
bgpclear_first,CompleteFeatures,DenStream,leaf2,0.2199405999854207,671,216,ok
bgpclear_first,CompleteFeatures,DenStream,leaf3,0.2559770999941975,670,208,ok
bgpclear_first,CompleteFeatures,DenStream,leaf5,0.25179840001510456,672,206,ok
bgpclear_first,CompleteFeatures,DenStream,leaf6,0.38272940000751987,671,213,ok
bgpclear_first,CompleteFeatures,DenStream,leaf7,0.13612789998296648,675,96,ok
bgpclear_first,CompleteFeatures,DenStream,leaf8,0.3102203000453301,675,214,ok
bgpclear_first,CompleteFeatures,DenStream,spine1,0.26780309999594465,662,307,ok
bgpclear_first,CompleteFeatures,DenStream,spine2,0.37157550000119954,662,307,ok
bgpclear_first,CompleteFeatures,DenStream,spine3,0.368804799974896,665,307,ok
bgpclear_first,CompleteFeatures,DenStream,spine4,0.4429999999701977,663,303,ok
bgpclear_first,CompleteFeatures,DBSCAN,leaf1,0.030212299956474453,664,213,ok
bgpclear_first,CompleteFeatures,DBSCAN,leaf2,0.027561499970033765,671,216,ok
bgpclear_first,CompleteFeatures,DBSCAN,leaf3,0.027386299974750727,670,208,ok
bgpclear_first,CompleteFeatures,DBSCAN,leaf5,0.02450890000909567,672,206,ok
bgpclear_first,CompleteFeatures,DBSCAN,leaf6,0.02854009997099638,671,213,ok
bgpclear_first,CompleteFeatures,DBSCAN,leaf7,0.022677799977827817,675,96,ok
bgpclear_first,CompleteFeatures,DBSCAN,leaf8,0.02831660001538694,675,214,ok
bgpclear_first,CompleteFeatures,DBSCAN,spine1,0.029119000013452023,662,307,ok
bgpclear_first,CompleteFeatures,DBSCAN,spine2,0.03145249997032806,662,307,ok
bgpclear_first,CompleteFeatures,DBSCAN,spine3,0.033778499986510724,665,307,ok
bgpclear_first,CompleteFeatures,DBSCAN,spine4,0.031412400014232844,663,303,ok
bgpclear_first,CompleteFeatures,MiniBatchKMeans,leaf1,0.7494641999946907,664,213,ok
bgpclear_first,CompleteFeatures,MiniBatchKMeans,leaf2,0.8170926000457257,671,216,ok
bgpclear_first,CompleteFeatures,MiniBatchKMeans,leaf3,0.7762834999593906,670,208,ok
bgpclear_first,CompleteFeatures,MiniBatchKMeans,leaf5,0.7556841999758035,672,206,ok
bgpclear_first,CompleteFeatures,MiniBatchKMeans,leaf6,0.6808383999741636,671,213,ok
bgpclear_first,CompleteFeatures,MiniBatchKMeans,leaf7,0.6564634999958798,675,96,ok
bgpclear_first,CompleteFeatures,MiniBatchKMeans,leaf8,0.7188943999935873,675,214,ok
bgpclear_first,CompleteFeatures,MiniBatchKMeans,spine1,0.7390906999935396,662,307,ok
bgpclear_first,CompleteFeatures,MiniBatchKMeans,spine2,0.7484304000390694,662,307,ok
bgpclear_first,CompleteFeatures,MiniBatchKMeans,spine3,0.5920610000030138,665,307,ok
bgpclear_first,CompleteFeatures,MiniBatchKMeans,spine4,0.6239554000203498,663,303,ok
bgpclear_no_traffic_2hourRun,ControlPlane,DenStream,leaf1,0.16432239999994636,1458,10,ok
bgpclear_no_traffic_2hourRun,ControlPlane,DenStream,leaf2,0.1132340999902226,1447,11,ok
bgpclear_no_traffic_2hourRun,ControlPlane,DenStream,leaf3,0.16205929999705404,1448,9,ok
bgpclear_no_traffic_2hourRun,ControlPlane,DenStream,leaf5,0.16806029999861494,1462,9,ok
bgpclear_no_traffic_2hourRun,ControlPlane,DenStream,leaf6,0.15262589999474585,1447,9,ok
bgpclear_no_traffic_2hourRun,ControlPlane,DenStream,leaf7,0.11744820000603795,1456,10,ok
bgpclear_no_traffic_2hourRun,ControlPlane,DenStream,leaf8,0.14788300002692267,1455,9,ok
bgpclear_no_traffic_2hourRun,ControlPlane,DenStream,spine1,0.1585472000297159,1455,11,ok
bgpclear_no_traffic_2hourRun,ControlPlane,DenStream,spine2,0.15113020001444966,1438,11,ok
bgpclear_no_traffic_2hourRun,ControlPlane,DenStream,spine3,0.1579063999815844,1437,11,ok
bgpclear_no_traffic_2hourRun,ControlPlane,DenStream,spine4,0.15042750001884997,1437,10,ok
bgpclear_no_traffic_2hourRun,DataPlane,DenStream,leaf1,0.3434480999712832,1458,98,ok
bgpclear_no_traffic_2hourRun,DataPlane,DenStream,leaf2,0.44930969999404624,1447,167,ok
bgpclear_no_traffic_2hourRun,DataPlane,DenStream,leaf3,0.3398219000082463,1448,163,ok
bgpclear_no_traffic_2hourRun,DataPlane,DenStream,leaf5,0.3624560000025667,1462,161,ok
bgpclear_no_traffic_2hourRun,DataPlane,DenStream,leaf6,0.2915311999968253,1447,176,ok
bgpclear_no_traffic_2hourRun,DataPlane,DenStream,leaf7,0.5759875999647193,1456,176,ok
bgpclear_no_traffic_2hourRun,DataPlane,DenStream,leaf8,0.7738721000496298,1455,178,ok
bgpclear_no_traffic_2hourRun,DataPlane,DenStream,spine1,0.6013100999989547,1455,252,ok
bgpclear_no_traffic_2hourRun,DataPlane,DenStream,spine2,0.6696216000127606,1438,254,ok
bgpclear_no_traffic_2hourRun,DataPlane,DenStream,spine3,0.8964473999803886,1437,250,ok
bgpclear_no_traffic_2hourRun,DataPlane,DenStream,spine4,0.7052549000363797,1437,255,ok
bgpclear_no_traffic_2hourRun,CompleteFeatures,DenStream,leaf1,0.3902618999709375,1458,108,ok
bgpclear_no_traffic_2hourRun,CompleteFeatures,DenStream,leaf2,0.5136998999514617,1447,178,ok
bgpclear_no_traffic_2hourRun,CompleteFeatures,DenStream,leaf3,0.16370410000672564,1448,172,ok
bgpclear_no_traffic_2hourRun,CompleteFeatures,DenStream,leaf5,0.1876594999921508,1462,170,ok
bgpclear_no_traffic_2hourRun,CompleteFeatures,DenStream,leaf6,0.16916150000179186,1447,185,ok
bgpclear_no_traffic_2hourRun,CompleteFeatures,DenStream,leaf7,0.4556048999656923,1456,186,ok
bgpclear_no_traffic_2hourRun,CompleteFeatures,DenStream,leaf8,0.5164393999730237,1455,187,ok
bgpclear_no_traffic_2hourRun,CompleteFeatures,DenStream,spine1,0.34546189999673516,1455,263,ok
bgpclear_no_traffic_2hourRun,CompleteFeatures,DenStream,spine2,0.3741571999853477,1438,265,ok
bgpclear_no_traffic_2hourRun,CompleteFeatures,DenStream,spine3,0.5578747999970801,1437,261,ok
bgpclear_no_traffic_2hourRun,CompleteFeatures,DenStream,spine4,0.4034749999991618,1437,265,ok
bgpclear_no_traffic_2hourRun,CompleteFeatures,DBSCAN,leaf1,0.04045369999948889,1458,108,ok
bgpclear_no_traffic_2hourRun,CompleteFeatures,DBSCAN,leaf2,0.04771800001617521,1447,178,ok
bgpclear_no_traffic_2hourRun,CompleteFeatures,DBSCAN,leaf3,0.04616199998417869,1448,172,ok
bgpclear_no_traffic_2hourRun,CompleteFeatures,DBSCAN,leaf5,0.05363360000774264,1462,170,ok
bgpclear_no_traffic_2hourRun,CompleteFeatures,DBSCAN,leaf6,0.049721900024451315,1447,185,ok
bgpclear_no_traffic_2hourRun,CompleteFeatures,DBSCAN,leaf7,0.04522259999066591,1456,186,ok
bgpclear_no_traffic_2hourRun,CompleteFeatures,DBSCAN,leaf8,0.0372812999994494,1455,187,ok
bgpclear_no_traffic_2hourRun,CompleteFeatures,DBSCAN,spine1,0.05477690004045144,1455,263,ok
bgpclear_no_traffic_2hourRun,CompleteFeatures,DBSCAN,spine2,0.05229279998457059,1438,265,ok
bgpclear_no_traffic_2hourRun,CompleteFeatures,DBSCAN,spine3,0.040888499992433935,1437,261,ok
bgpclear_no_traffic_2hourRun,CompleteFeatures,DBSCAN,spine4,0.050728100002743304,1437,265,ok
bgpclear_no_traffic_2hourRun,CompleteFeatures,MiniBatchKMeans,leaf1,0.9863751000375487,1458,108,ok
bgpclear_no_traffic_2hourRun,CompleteFeatures,MiniBatchKMeans,leaf2,1.0440763999940827,1447,178,ok
bgpclear_no_traffic_2hourRun,CompleteFeatures,MiniBatchKMeans,leaf3,1.0057444000267424,1448,172,ok
bgpclear_no_traffic_2hourRun,CompleteFeatures,MiniBatchKMeans,leaf5,1.0355273999739438,1462,170,ok
bgpclear_no_traffic_2hourRun,CompleteFeatures,MiniBatchKMeans,leaf6,1.0876990999677218,1447,185,ok
bgpclear_no_traffic_2hourRun,CompleteFeatures,MiniBatchKMeans,leaf7,1.021061900013592,1456,186,ok
bgpclear_no_traffic_2hourRun,CompleteFeatures,MiniBatchKMeans,leaf8,1.0166585000115447,1455,187,ok
bgpclear_no_traffic_2hourRun,CompleteFeatures,MiniBatchKMeans,spine1,1.0180117000127211,1455,263,ok
bgpclear_no_traffic_2hourRun,CompleteFeatures,MiniBatchKMeans,spine2,1.1342250000452623,1438,265,ok
bgpclear_no_traffic_2hourRun,CompleteFeatures,MiniBatchKMeans,spine3,0.9341050999937579,1437,261,ok
bgpclear_no_traffic_2hourRun,CompleteFeatures,MiniBatchKMeans,spine4,0.9482986999792047,1437,265,ok
bgpclear_second,ControlPlane,DenStream,leaf1,0.06704190000891685,417,11,ok
bgpclear_second,ControlPlane,DenStream,leaf2,0.04886899999110028,418,11,ok
bgpclear_second,ControlPlane,DenStream,leaf3,0.0517837000079453,418,6,ok
bgpclear_second,ControlPlane,DenStream,leaf5,0.05715589999454096,418,6,ok
bgpclear_second,ControlPlane,DenStream,leaf6,0.05468850000761449,417,11,ok
bgpclear_second,ControlPlane,DenStream,leaf7,0.060691800026688725,421,6,ok
bgpclear_second,ControlPlane,DenStream,leaf8,0.04270600003656,420,11,ok
bgpclear_second,ControlPlane,DenStream,spine1,0.0510202000150457,414,11,ok
bgpclear_second,ControlPlane,DenStream,spine2,0.04982469999231398,415,11,ok
bgpclear_second,ControlPlane,DenStream,spine3,0.056433500023558736,415,11,ok
bgpclear_second,ControlPlane,DenStream,spine4,0.05416190001415089,414,6,ok
bgpclear_second,DataPlane,DenStream,leaf1,0.21752559999004006,417,199,ok
bgpclear_second,DataPlane,DenStream,leaf2,0.23860470001818612,418,204,ok
bgpclear_second,DataPlane,DenStream,leaf3,0.2572504000272602,418,196,ok
bgpclear_second,DataPlane,DenStream,leaf5,0.22371360001852736,418,197,ok
bgpclear_second,DataPlane,DenStream,leaf6,0.19995989999733865,417,203,ok
bgpclear_second,DataPlane,DenStream,leaf7,0.19435159995919093,421,203,ok
bgpclear_second,DataPlane,DenStream,leaf8,0.24652689998038113,420,205,ok
bgpclear_second,DataPlane,DenStream,spine1,0.2666085999808274,414,318,ok
bgpclear_second,DataPlane,DenStream,spine2,0.2737650000490248,415,318,ok
bgpclear_second,DataPlane,DenStream,spine3,0.29407699999865144,415,318,ok
bgpclear_second,DataPlane,DenStream,spine4,0.25362229999154806,414,308,ok
bgpclear_second,CompleteFeatures,DenStream,leaf1,0.23092810000525787,417,210,ok
bgpclear_second,CompleteFeatures,DenStream,leaf2,0.24193479999667034,418,215,ok
bgpclear_second,CompleteFeatures,DenStream,leaf3,0.26179699995554984,418,202,ok
bgpclear_second,CompleteFeatures,DenStream,leaf5,0.2220503999851644,418,203,ok
bgpclear_second,CompleteFeatures,DenStream,leaf6,0.25390749995131046,417,214,ok
bgpclear_second,CompleteFeatures,DenStream,leaf7,0.19936929998220876,421,209,ok
bgpclear_second,CompleteFeatures,DenStream,leaf8,0.2562268999754451,420,216,ok
bgpclear_second,CompleteFeatures,DenStream,spine1,0.2915346999652684,414,329,ok
bgpclear_second,CompleteFeatures,DenStream,spine2,0.27141670003766194,415,329,ok
bgpclear_second,CompleteFeatures,DenStream,spine3,0.2932320999680087,415,329,ok
bgpclear_second,CompleteFeatures,DenStream,spine4,0.2429304999532178,414,314,ok
bgpclear_second,CompleteFeatures,DBSCAN,leaf1,0.0264463999774307,417,210,ok
bgpclear_second,CompleteFeatures,DBSCAN,leaf2,0.025001699978020042,418,215,ok
bgpclear_second,CompleteFeatures,DBSCAN,leaf3,0.026585199986584485,418,202,ok
bgpclear_second,CompleteFeatures,DBSCAN,leaf5,0.023742199991829693,418,203,ok
bgpclear_second,CompleteFeatures,DBSCAN,leaf6,0.031815399997867644,417,214,ok
bgpclear_second,CompleteFeatures,DBSCAN,leaf7,0.02461520000360906,421,209,ok
bgpclear_second,CompleteFeatures,DBSCAN,leaf8,0.02464369998779148,420,216,ok
bgpclear_second,CompleteFeatures,DBSCAN,spine1,0.02832839998882264,414,329,ok
bgpclear_second,CompleteFeatures,DBSCAN,spine2,0.03971400001319125,415,329,ok
bgpclear_second,CompleteFeatures,DBSCAN,spine3,0.030276100034825504,415,329,ok
bgpclear_second,CompleteFeatures,DBSCAN,spine4,0.028785300033632666,414,314,ok
bgpclear_second,CompleteFeatures,MiniBatchKMeans,leaf1,0.6478719000006095,417,210,ok
bgpclear_second,CompleteFeatures,MiniBatchKMeans,leaf2,0.6329249999835156,418,215,ok
bgpclear_second,CompleteFeatures,MiniBatchKMeans,leaf3,0.692336099979002,418,202,ok
bgpclear_second,CompleteFeatures,MiniBatchKMeans,leaf5,0.6620651000412181,418,203,ok
bgpclear_second,CompleteFeatures,MiniBatchKMeans,leaf6,0.6726242000004277,417,214,ok
bgpclear_second,CompleteFeatures,MiniBatchKMeans,leaf7,0.7486021000077017,421,209,ok
bgpclear_second,CompleteFeatures,MiniBatchKMeans,leaf8,0.7341471000108868,420,216,ok
bgpclear_second,CompleteFeatures,MiniBatchKMeans,spine1,0.696366099989973,414,329,ok
bgpclear_second,CompleteFeatures,MiniBatchKMeans,spine2,0.691254100005608,415,329,ok
bgpclear_second,CompleteFeatures,MiniBatchKMeans,spine3,0.6127193000284024,415,329,ok
bgpclear_second,CompleteFeatures,MiniBatchKMeans,spine4,0.6122185999993235,414,314,ok
portflap_first,ControlPlane,DenStream,leaf1,0.05904899997403845,350,9,ok
portflap_first,ControlPlane,DenStream,leaf2,0.04412840004079044,350,7,ok
portflap_first,ControlPlane,DenStream,leaf3,0.04595900001004338,349,10,ok
portflap_first,ControlPlane,DenStream,leaf5,0.030696799978613853,348,6,ok
portflap_first,ControlPlane,DenStream,leaf6,0.04257819999475032,348,9,ok
portflap_first,ControlPlane,DenStream,leaf7,0.03225629997905344,350,9,ok
portflap_first,ControlPlane,DenStream,leaf8,0.05001140001695603,349,5,ok
portflap_first,ControlPlane,DenStream,spine1,0.0481969999964349,348,9,ok
portflap_first,ControlPlane,DenStream,spine2,0.0461553999921307,347,10,ok
portflap_first,ControlPlane,DenStream,spine3,0.042722999991383404,347,8,ok
portflap_first,ControlPlane,DenStream,spine4,0.03477890003705397,348,9,ok
portflap_first,DataPlane,DenStream,leaf1,0.19462349999230355,350,208,ok
portflap_first,DataPlane,DenStream,leaf2,0.10407110000960529,350,212,ok
portflap_first,DataPlane,DenStream,leaf3,0.19143649999750778,349,149,ok
portflap_first,DataPlane,DenStream,leaf5,0.12847749999491498,348,143,ok
portflap_first,DataPlane,DenStream,leaf6,0.1049883000086993,348,174,ok
portflap_first,DataPlane,DenStream,leaf7,0.15696759999264032,350,216,ok
portflap_first,DataPlane,DenStream,leaf8,0.0650185999693349,349,89,ok
portflap_first,DataPlane,DenStream,spine1,0.1635522999567911,348,256,ok
